SA2Name,SA2Code,SA2Code.x,SA2Code.y,Score,norm_weekend_percentage,avg_trips_per_stop,reliance_on_PT,cluster
Sandgate - Shorncliffe,302041044,302041044,302041044,1039,16.66274789,34566.42222,13.84666226,2
Scarborough - Newport - Moreton Island,313051542,313051542,313051542,1016,12.73822796,3427.625,3.235348493,4
Seventeen Mile Rocks - Sinnamon Park,304011084,304011084,304011084,1109,11.5161892,3380.9375,8.770119686,4
Shailer Park,311051327,311051327,311051327,1052,18.49137473,19897.50847,5.982905983,2
Sheldon - Mount Cotton,301021011,301021011,301021011,1088,5.382121038,1658.285714,2.30984601,4
Sherwood,304031095,304031095,304031095,1098,14.63213959,22221.05263,18.80718401,2
Sippy Downs,316011416,316011416,316011416,985,22.4569519,9361.741935,1.802656546,4
Slacks Creek,311061333,311061333,311061333,882,13.60978875,3618.298246,5.478414542,4
South Brisbane,305011110,305011110,305011110,1082,33.7013303,447138.6087,19.67860906,1
Southport - North,309091540,309091540,309091540,939,31.84454846,96565.89189,9.253246753,5
Southport - South,309091541,309091541,309091541,978,25.69173259,3490.509434,6.594594595,4
Spring Hill,305011111,305011111,305011111,1028,10.24249371,7447,14.01348578,4
Springfield,310041303,310041303,310041303,1005,8.921574953,16433.57143,6.754385965,2
Springfield Lakes,310041304,310041304,310041304,1046,17.14806626,3927.372549,7.41158766,4
Springwood,311061334,311061334,311061334,1020,14.99409292,19444.10204,7.275103463,2
St Lucia,304031096,304031096,304031096,1096,25.7492156,135426.5179,18.04494872,3
Stafford,302021032,302021032,302021032,1013,18.35103022,9592.179104,13.05354559,4
Stafford Heights,302021033,302021033,302021033,1031,17.51985774,6294.631579,9.451970443,4
Strathpine - Brendale,314031394,314031394,314031394,938,12.50325572,19428.67647,9.453000531,2
Sunnybank,303061079,303061079,303061079,997,23.23002722,29517.03774,14.99733617,2
Sunnybank Hills,303061080,303061080,303061080,1015,23.02732463,23846.4127,11.96172249,2
Sunshine Beach,316051437,316051437,316051437,1036,29.68044163,5164.903226,1.969981238,4
Surfers Paradise,309101270,309101270,309101270,983,45.46036506,131691.0217,10.52397077,3
Taigum - Fitzgibbon,302041045,302041045,302041045,1000,14.16586017,26584.06061,14.22334173,2
Taringa,304031097,304031097,304031097,1100,18.07317429,18313.1791,21.19032047,2
Tarragindi,303041071,303041071,303041071,1110,15.22923235,5662.483516,12.8865025,4
Tewantin,316051438,316051438,316051438,957,28.68019395,3726.181818,1.875468867,4
The Gap,304041103,304041103,304041103,1114,16.89666718,12292.60274,11.43702243,4
The Hills District,314011386,314011386,314011386,1073,7.79763157,1803.25,8.908069375,4
Thorneside,301011005,301011005,301011005,983,8.483445756,6362.72,7.679738562,4
Thornlands,301021012,301021012,301021012,1067,14.19779835,2153.375,3.366600133,4
Tingalpa,301031018,301031018,301031018,1026,14.60010833,4906.840909,7.914462081,4
Toowong,305041137,305041137,305041137,1112,27.52914241,58160.14063,19.91708413,5
Underwood,311061335,311061335,311061335,1036,15.57292731,5510.333333,7.312252964,4
Upper Coomera - Willow Vale,309071258,309071258,309071258,1012,17.21471792,2021.596154,2.270894921,4
Upper Kedron - Ferny Grove,304041104,304041104,304041104,1090,9.371409931,50519.5,12.99069203,5
Upper Mount Gravatt,303031065,303031065,303031065,1016,25.93582936,74199.35227,14.1507148,5
Varsity Lakes,309081262,309081262,309081262,1008,24.55527347,24763.5814,3.585271318,2
Victoria Point,301021013,301021013,301021013,1004,16.82420739,8175.176471,2.570305413,4
Wacol,310011276,310011276,310011276,793,8.101698744,13914.32258,6.818181818,4
Wakerley,301031019,301031019,301031019,1136,7.975240854,4836.041667,5.858456275,4
Waterford West,311051328,311051328,311051328,885,10.65814718,6296.88,4.092920354,4
Wavell Heights,302021034,302021034,302021034,1089,10.07603362,3489.118421,10.44168927,4
Wellington Point,301011006,301011006,301011006,1062,9.686037867,7036.076923,5.974895397,4
West End,305011112,305011112,305011112,1084,29.6467279,40326.52381,21.72754947,2
Westlake,304011085,304011085,304011085,1123,12.37498417,10892.125,6.65514261,4
Wilston,305031129,305031129,305031129,1132,15.64295487,14142.32143,17.19686491,4
Windsor,305031130,305031130,305031130,1091,18.44768145,29925.72222,21.70944196,2
Wishart,303031066,303031066,303031066,1060,15.94391517,9019.521739,10.96723563,4
Wolffdene - Bahrs Scrub,311021310,311021310,311021310,1022,14.9266105,1429.083333,2.255881405,4
Woodridge,311061336,311061336,311061336,796,14.80375339,4649.365079,7.062809487,4
Woolloongabba,303021058,303021058,303021058,1051,19.45062253,133340.7727,23.23919701,3
Wooloowin - Lutwyche,305031131,305031131,305031131,1080,17.35326901,31646.01818,21.72489083,2
Worongary - Tallai,309061250,309061250,309061250,1052,13.53915855,882.1666667,0.995158687,4
Wurtulla - Birtinya,316021424,316021424,316021424,1012,25.77603411,4743,1.686157193,4
Wynnum,301031020,301031020,301031020,1019,14.90547209,11645.93243,11.15625,4
Wynnum West - Hemmant,301031021,301031021,301031021,984,11.10996833,7830.454545,8.27247191,4
Yeronga,303021059,303021059,303021059,1090,17.93161718,10016.8,15.58362192,4
Zillmere,302041046,302041046,302041046,938,17.6168911,15782.54386,14.56589333,2
